appsSubmitted,appsCompleted,appsPending,appsRunning,appsFailed,appsKilled,reservedMB,availableMB,allocatedMB,reservedVirtualCores,availableVirtualCores,allocatedVirtualCores,containersAllocated,containersReserved,containersPending,totalMB,totalVirtualCores,totalNodes,lostNodes,unhealthyNodes,decommissionedNodes,rebootedNodes,activeNodes
319,275,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
321,277,0,2,0,42,2048,512,9216,1,6,5,5,1,3,9728,11,2,0,0,0,0,2
323,279,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
325,281,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
327,283,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
329,285,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
331,287,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
333,289,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
335,291,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
337,293,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
339,295,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
341,297,0,2,0,42,2048,512,9216,1,6,5,5,1,2,9728,11,2,0,0,0,0,2
343,299,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
345,301,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
347,303,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
349,305,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
351,307,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
353,309,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
355,311,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
357,313,0,2,0,42,2048,512,9216,1,6,5,5,1,2,9728,11,2,0,0,0,0,2
359,315,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
361,317,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
363,319,0,2,0,42,2048,512,9216,1,6,5,5,1,3,9728,11,2,0,0,0,0,2
365,321,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
367,323,0,2,0,42,2048,512,9216,1,6,5,5,1,4,9728,11,2,0,0,0,0,2
369,327,0,0,0,42,0,11776,0,0,12,0,0,0,0,11776,12,2,0,0,0,0,2
