type,capacity,usedCapacity,maxCapacity,absoluteCapacity,absoluteMaxCapacity,absoluteUsedCapacity,numApplications,queueName,state,resourcesUsed,hideReservationQueues,nodeLabels,allocatedContainers,reservedContainers,pendingContainers,capacities,resources,numActiveApplications,numPendingApplications,numContainers,maxApplications,maxApplicationsPerUser,userLimit,users,userLimitFactor,AMResourceLimit,usedAMResource,userAMResourceLimit,preemptionDisabled,memory,vCores
capacitySchedulerLeafQueueInfo,60.000004,101.45789,100.0,60.000004,100.0,60.869564,1,hive,RUNNING,"{'memory': 7168, 'vCores': 4}",False,['*'],3,1,3,"{'queueCapacitiesByPartition': [{'partitionName': '', 'capacity': 60.000004, 'usedCapacity': 101.45789, 'maxCapacity': 100.0, 'absoluteCapacity': 60.000004, 'absoluteUsedCapacity': 60.869564, 'absoluteMaxCapacity': 100.0, 'maxAMLimitPercentage': 20.0}]}","{'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 7168, 'vCores': 4}, 'reserved': {'memory': 2048, 'vCores': 1}, 'pending': {'memory': 6144, 'vCores': 3}, 'amUsed': {'memory': 1024, 'vCores': 1}, 'amLimit': {'memory': 2048, 'vCores': 1}}]}",1,0,4,6000,6000,100,"{'user': [{'username': 'root', 'resourcesUsed': {'memory': 7168, 'vCores': 4}, 'numPendingApplications': 0, 'numActiveApplications': 1, 'AMResourceUsed': {'memory': 1024, 'vCores': 1}, 'userResourceLimit': {'memory': 7168, 'vCores': 1}, 'resources': {'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 7168, 'vCores': 4}, 'reserved': {'memory': 0, 'vCores': 0}, 'pending': {'memory': 0, 'vCores': 0}, 'amUsed': {'memory': 1024, 'vCores': 1}, 'amLimit': {'memory': 2048, 'vCores': 1}}]}}]}",1.0,"{'memory': 2048, 'vCores': 1}","{'memory': 1024, 'vCores': 1}","{'memory': 2048, 'vCores': 1}",True,7168,4
capacitySchedulerLeafQueueInfo,40.0,86.963905,40.0,40.0,40.0,34.782608,1,spark,RUNNING,"{'memory': 4096, 'vCores': 2}",False,['*'],2,0,1,"{'queueCapacitiesByPartition': [{'partitionName': '', 'capacity': 40.0, 'usedCapacity': 86.963905, 'maxCapacity': 40.0, 'absoluteCapacity': 40.0, 'absoluteUsedCapacity': 34.782608, 'absoluteMaxCapacity': 40.0, 'maxAMLimitPercentage': 20.0}]}","{'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 4096, 'vCores': 2}, 'reserved': {'memory': 0, 'vCores': 0}, 'pending': {'memory': 2048, 'vCores': 1}, 'amUsed': {'memory': 2048, 'vCores': 1}, 'amLimit': {'memory': 1024, 'vCores': 1}}]}",1,0,2,4000,4000,100,"{'user': [{'username': 'root', 'resourcesUsed': {'memory': 4096, 'vCores': 2}, 'numPendingApplications': 0, 'numActiveApplications': 1, 'AMResourceUsed': {'memory': 2048, 'vCores': 1}, 'userResourceLimit': {'memory': 5120, 'vCores': 1}, 'resources': {'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 4096, 'vCores': 2}, 'reserved': {'memory': 0, 'vCores': 0}, 'pending': {'memory': 0, 'vCores': 0}, 'amUsed': {'memory': 2048, 'vCores': 1}, 'amLimit': {'memory': 1024, 'vCores': 1}}]}}]}",1.0,"{'memory': 1024, 'vCores': 1}","{'memory': 2048, 'vCores': 1}","{'memory': 1024, 'vCores': 1}",True,,
capacitySchedulerLeafQueueInfo,60.000004,101.45789,100.0,60.000004,100.0,60.869564,1,hive,RUNNING,"{'memory': 7168, 'vCores': 4}",False,['*'],3,1,2,"{'queueCapacitiesByPartition': [{'partitionName': '', 'capacity': 60.000004, 'usedCapacity': 101.45789, 'maxCapacity': 100.0, 'absoluteCapacity': 60.000004, 'absoluteUsedCapacity': 60.869564, 'absoluteMaxCapacity': 100.0, 'maxAMLimitPercentage': 20.0}]}","{'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 7168, 'vCores': 4}, 'reserved': {'memory': 2048, 'vCores': 1}, 'pending': {'memory': 4096, 'vCores': 2}, 'amUsed': {'memory': 1024, 'vCores': 1}, 'amLimit': {'memory': 3072, 'vCores': 1}}]}",1,0,4,6000,6000,100,"{'user': [{'username': 'root', 'resourcesUsed': {'memory': 7168, 'vCores': 4}, 'numPendingApplications': 0, 'numActiveApplications': 1, 'AMResourceUsed': {'memory': 1024, 'vCores': 1}, 'userResourceLimit': {'memory': 7168, 'vCores': 1}, 'resources': {'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 7168, 'vCores': 4}, 'reserved': {'memory': 0, 'vCores': 0}, 'pending': {'memory': 0, 'vCores': 0}, 'amUsed': {'memory': 1024, 'vCores': 1}, 'amLimit': {'memory': 2048, 'vCores': 1}}]}}]}",1.0,"{'memory': 3072, 'vCores': 1}","{'memory': 1024, 'vCores': 1}","{'memory': 2048, 'vCores': 1}",True,7168,4
capacitySchedulerLeafQueueInfo,40.0,86.963905,40.0,40.0,40.0,34.782608,1,spark,RUNNING,"{'memory': 4096, 'vCores': 2}",False,['*'],2,0,1,"{'queueCapacitiesByPartition': [{'partitionName': '', 'capacity': 40.0, 'usedCapacity': 86.963905, 'maxCapacity': 40.0, 'absoluteCapacity': 40.0, 'absoluteUsedCapacity': 34.782608, 'absoluteMaxCapacity': 40.0, 'maxAMLimitPercentage': 20.0}]}","{'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 4096, 'vCores': 2}, 'reserved': {'memory': 0, 'vCores': 0}, 'pending': {'memory': 2048, 'vCores': 1}, 'amUsed': {'memory': 2048, 'vCores': 1}, 'amLimit': {'memory': 1024, 'vCores': 1}}]}",1,0,2,4000,4000,100,"{'user': [{'username': 'root', 'resourcesUsed': {'memory': 4096, 'vCores': 2}, 'numPendingApplications': 0, 'numActiveApplications': 1, 'AMResourceUsed': {'memory': 2048, 'vCores': 1}, 'userResourceLimit': {'memory': 5120, 'vCores': 1}, 'resources': {'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 4096, 'vCores': 2}, 'reserved': {'memory': 0, 'vCores': 0}, 'pending': {'memory': 0, 'vCores': 0}, 'amUsed': {'memory': 2048, 'vCores': 1}, 'amLimit': {'memory': 1024, 'vCores': 1}}]}}]}",1.0,"{'memory': 1024, 'vCores': 1}","{'memory': 2048, 'vCores': 1}","{'memory': 1024, 'vCores': 1}",True,,
capacitySchedulerLeafQueueInfo,60.000004,101.45789,100.0,60.000004,100.0,60.869564,1,hive,RUNNING,"{'memory': 7168, 'vCores': 4}",False,['*'],3,1,3,"{'queueCapacitiesByPartition': [{'partitionName': '', 'capacity': 60.000004, 'usedCapacity': 101.45789, 'maxCapacity': 100.0, 'absoluteCapacity': 60.000004, 'absoluteUsedCapacity': 60.869564, 'absoluteMaxCapacity': 100.0, 'maxAMLimitPercentage': 20.0}]}","{'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 7168, 'vCores': 4}, 'reserved': {'memory': 2048, 'vCores': 1}, 'pending': {'memory': 6144, 'vCores': 3}, 'amUsed': {'memory': 1024, 'vCores': 1}, 'amLimit': {'memory': 2048, 'vCores': 1}}]}",1,0,4,6000,6000,100,"{'user': [{'username': 'root', 'resourcesUsed': {'memory': 7168, 'vCores': 4}, 'numPendingApplications': 0, 'numActiveApplications': 1, 'AMResourceUsed': {'memory': 1024, 'vCores': 1}, 'userResourceLimit': {'memory': 7168, 'vCores': 1}, 'resources': {'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 7168, 'vCores': 4}, 'reserved': {'memory': 0, 'vCores': 0}, 'pending': {'memory': 0, 'vCores': 0}, 'amUsed': {'memory': 1024, 'vCores': 1}, 'amLimit': {'memory': 2048, 'vCores': 1}}]}}]}",1.0,"{'memory': 2048, 'vCores': 1}","{'memory': 1024, 'vCores': 1}","{'memory': 2048, 'vCores': 1}",True,7168,4
capacitySchedulerLeafQueueInfo,40.0,86.963905,40.0,40.0,40.0,34.782608,1,spark,RUNNING,"{'memory': 4096, 'vCores': 2}",False,['*'],2,0,1,"{'queueCapacitiesByPartition': [{'partitionName': '', 'capacity': 40.0, 'usedCapacity': 86.963905, 'maxCapacity': 40.0, 'absoluteCapacity': 40.0, 'absoluteUsedCapacity': 34.782608, 'absoluteMaxCapacity': 40.0, 'maxAMLimitPercentage': 20.0}]}","{'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 4096, 'vCores': 2}, 'reserved': {'memory': 0, 'vCores': 0}, 'pending': {'memory': 2048, 'vCores': 1}, 'amUsed': {'memory': 2048, 'vCores': 1}, 'amLimit': {'memory': 1024, 'vCores': 1}}]}",1,0,2,4000,4000,100,"{'user': [{'username': 'root', 'resourcesUsed': {'memory': 4096, 'vCores': 2}, 'numPendingApplications': 0, 'numActiveApplications': 1, 'AMResourceUsed': {'memory': 2048, 'vCores': 1}, 'userResourceLimit': {'memory': 5120, 'vCores': 1}, 'resources': {'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 4096, 'vCores': 2}, 'reserved': {'memory': 0, 'vCores': 0}, 'pending': {'memory': 0, 'vCores': 0}, 'amUsed': {'memory': 2048, 'vCores': 1}, 'amLimit': {'memory': 1024, 'vCores': 1}}]}}]}",1.0,"{'memory': 1024, 'vCores': 1}","{'memory': 2048, 'vCores': 1}","{'memory': 1024, 'vCores': 1}",True,,
capacitySchedulerLeafQueueInfo,60.000004,101.45789,100.0,60.000004,100.0,60.869564,1,hive,RUNNING,"{'memory': 7168, 'vCores': 4}",False,['*'],3,1,3,"{'queueCapacitiesByPartition': [{'partitionName': '', 'capacity': 60.000004, 'usedCapacity': 101.45789, 'maxCapacity': 100.0, 'absoluteCapacity': 60.000004, 'absoluteUsedCapacity': 60.869564, 'absoluteMaxCapacity': 100.0, 'maxAMLimitPercentage': 20.0}]}","{'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 7168, 'vCores': 4}, 'reserved': {'memory': 2048, 'vCores': 1}, 'pending': {'memory': 6144, 'vCores': 3}, 'amUsed': {'memory': 1024, 'vCores': 1}, 'amLimit': {'memory': 2048, 'vCores': 1}}]}",1,0,4,6000,6000,100,"{'user': [{'username': 'root', 'resourcesUsed': {'memory': 7168, 'vCores': 4}, 'numPendingApplications': 0, 'numActiveApplications': 1, 'AMResourceUsed': {'memory': 1024, 'vCores': 1}, 'userResourceLimit': {'memory': 7168, 'vCores': 1}, 'resources': {'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 7168, 'vCores': 4}, 'reserved': {'memory': 0, 'vCores': 0}, 'pending': {'memory': 0, 'vCores': 0}, 'amUsed': {'memory': 1024, 'vCores': 1}, 'amLimit': {'memory': 2048, 'vCores': 1}}]}}]}",1.0,"{'memory': 2048, 'vCores': 1}","{'memory': 1024, 'vCores': 1}","{'memory': 2048, 'vCores': 1}",True,7168,4
capacitySchedulerLeafQueueInfo,40.0,86.963905,40.0,40.0,40.0,34.782608,1,spark,RUNNING,"{'memory': 4096, 'vCores': 2}",False,['*'],2,0,1,"{'queueCapacitiesByPartition': [{'partitionName': '', 'capacity': 40.0, 'usedCapacity': 86.963905, 'maxCapacity': 40.0, 'absoluteCapacity': 40.0, 'absoluteUsedCapacity': 34.782608, 'absoluteMaxCapacity': 40.0, 'maxAMLimitPercentage': 20.0}]}","{'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 4096, 'vCores': 2}, 'reserved': {'memory': 0, 'vCores': 0}, 'pending': {'memory': 2048, 'vCores': 1}, 'amUsed': {'memory': 2048, 'vCores': 1}, 'amLimit': {'memory': 1024, 'vCores': 1}}]}",1,0,2,4000,4000,100,"{'user': [{'username': 'root', 'resourcesUsed': {'memory': 4096, 'vCores': 2}, 'numPendingApplications': 0, 'numActiveApplications': 1, 'AMResourceUsed': {'memory': 2048, 'vCores': 1}, 'userResourceLimit': {'memory': 5120, 'vCores': 1}, 'resources': {'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 4096, 'vCores': 2}, 'reserved': {'memory': 0, 'vCores': 0}, 'pending': {'memory': 0, 'vCores': 0}, 'amUsed': {'memory': 2048, 'vCores': 1}, 'amLimit': {'memory': 1024, 'vCores': 1}}]}}]}",1.0,"{'memory': 1024, 'vCores': 1}","{'memory': 2048, 'vCores': 1}","{'memory': 1024, 'vCores': 1}",True,,
capacitySchedulerLeafQueueInfo,60.000004,130.44586,100.0,60.000004,100.0,78.26087,1,hive,RUNNING,"{'memory': 9216, 'vCores': 5}",False,['*'],4,1,2,"{'queueCapacitiesByPartition': [{'partitionName': '', 'capacity': 60.000004, 'usedCapacity': 130.44586, 'maxCapacity': 100.0, 'absoluteCapacity': 60.000004, 'absoluteUsedCapacity': 78.26087, 'absoluteMaxCapacity': 100.0, 'maxAMLimitPercentage': 20.0}]}","{'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 9216, 'vCores': 5}, 'reserved': {'memory': 2048, 'vCores': 1}, 'pending': {'memory': 4096, 'vCores': 2}, 'amUsed': {'memory': 1024, 'vCores': 1}, 'amLimit': {'memory': 2048, 'vCores': 1}}]}",1,0,5,6000,6000,100,"{'user': [{'username': 'root', 'resourcesUsed': {'memory': 9216, 'vCores': 5}, 'numPendingApplications': 0, 'numActiveApplications': 1, 'AMResourceUsed': {'memory': 1024, 'vCores': 1}, 'userResourceLimit': {'memory': 7168, 'vCores': 1}, 'resources': {'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 9216, 'vCores': 5}, 'reserved': {'memory': 0, 'vCores': 0}, 'pending': {'memory': 0, 'vCores': 0}, 'amUsed': {'memory': 1024, 'vCores': 1}, 'amLimit': {'memory': 2048, 'vCores': 1}}]}}]}",1.0,"{'memory': 2048, 'vCores': 1}","{'memory': 1024, 'vCores': 1}","{'memory': 2048, 'vCores': 1}",True,9216,5
capacitySchedulerLeafQueueInfo,40.0,43.481953,40.0,40.0,40.0,17.391304,1,spark,RUNNING,"{'memory': 2048, 'vCores': 1}",False,['*'],1,0,2,"{'queueCapacitiesByPartition': [{'partitionName': '', 'capacity': 40.0, 'usedCapacity': 43.481953, 'maxCapacity': 40.0, 'absoluteCapacity': 40.0, 'absoluteUsedCapacity': 17.391304, 'absoluteMaxCapacity': 40.0, 'maxAMLimitPercentage': 20.0}]}","{'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 2048, 'vCores': 1}, 'reserved': {'memory': 0, 'vCores': 0}, 'pending': {'memory': 4096, 'vCores': 2}, 'amUsed': {'memory': 2048, 'vCores': 1}, 'amLimit': {'memory': 1024, 'vCores': 1}}]}",1,0,1,4000,4000,100,"{'user': [{'username': 'root', 'resourcesUsed': {'memory': 2048, 'vCores': 1}, 'numPendingApplications': 0, 'numActiveApplications': 1, 'AMResourceUsed': {'memory': 2048, 'vCores': 1}, 'userResourceLimit': {'memory': 5120, 'vCores': 1}, 'resources': {'resourceUsagesByPartition': [{'partitionName': '', 'used': {'memory': 2048, 'vCores': 1}, 'reserved': {'memory': 0, 'vCores': 0}, 'pending': {'memory': 0, 'vCores': 0}, 'amUsed': {'memory': 2048, 'vCores': 1}, 'amLimit': {'memory': 1024, 'vCores': 1}}]}}]}",1.0,"{'memory': 1024, 'vCores': 1}","{'memory': 2048, 'vCores': 1}","{'memory': 1024, 'vCores': 1}",True,,
